"sex","agegr","edu","socprof","marital","depress","trust","trustfam","trustneigh","income"
"MALE","65+","POST-SECONDARY OR HIGHER","UNEMPLOYED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","NO","NO",2000
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1100
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",4,"MOST PEOPLE CAN BE TRUSTED","NO","NO",1000
"FEMALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","25-34","VOCATIONAL/GRAMMAR","FARMER","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO",300
"FEMALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","DIVORCED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",2500
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",3000
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",14,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"MALE","60-64","SECONDARY","RETIRED","MARRIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",2100
"FEMALE","16-24","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","SINGLE",3,"IT`S DIFFICULT TO TELL","YES","YES",NA
"MALE","16-24","SECONDARY","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"MALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","NO","NO OPINION",NA
"FEMALE","16-24","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",1300
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",8,"MOST PEOPLE CAN BE TRUSTED","NO","YES",1500
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",16,"ONE CAN`T BE TOO CAREFUL","YES","YES",920
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",16,"ONE CAN`T BE TOO CAREFUL","YES","YES",800
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",800
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","DE FACTO SEPARATED",0,"IT`S DIFFICULT TO TELL","YES","YES",NA
"MALE","16-24","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",1500
"MALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1500
"MALE","60-64","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",930
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",12,"MOST PEOPLE CAN BE TRUSTED","YES","YES",612
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","NO","NO",NA
"FEMALE","16-24","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",600
"MALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",3500
"MALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",380
"MALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","60-64","PRIMARY/NO EDUCATION","RETIRED","SINGLE",1,"MOST PEOPLE CAN BE TRUSTED","NO","NO",800
"MALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","NO","YES",920
"MALE","65+","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1400
"FEMALE","45-59","POST-SECONDARY OR HIGHER","FARMER","WIDOWED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES",5400
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",2800
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","DE FACTO SEPARATED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","NO","NO",NA
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1100
"FEMALE","35-44","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","WIDOWED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","45-59","SECONDARY","UNEMPLOYED","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","WIDOWED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"FEMALE","35-44","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"MALE","25-34","VOCATIONAL/GRAMMAR","FARMER","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1990
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"MALE","25-34","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1670
"FEMALE","35-44","VOCATIONAL/GRAMMAR","FARMER","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1500
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",4,"MOST PEOPLE CAN BE TRUSTED","YES","YES",400
"FEMALE","16-24","SECONDARY","LONG-TERM SICK/DISABLED","SINGLE",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1700
"FEMALE","45-59","SECONDARY","RETIRED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",1281
"MALE","35-44","PRIMARY/NO EDUCATION","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","25-34","SECONDARY","FARMER","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1800
"FEMALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","DIVORCED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"MALE","60-64","SECONDARY","RETIRED","MARRIED",7,"IT`S DIFFICULT TO TELL","YES","NO",1800
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","WIDOWED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"MALE","16-24","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",NA,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","60-64","SECONDARY","SELF-EMPLOYED","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",5000
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",940
"FEMALE","25-34","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","35-44","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",2000
"FEMALE","65+","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","MARRIED",15,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"MALE","45-59","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","NO","NO",2400
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",1060
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",2,"IT`S DIFFICULT TO TELL","YES","YES",2000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",8,"IT`S DIFFICULT TO TELL","YES","NO",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",9,"IT`S DIFFICULT TO TELL","YES","NO",920
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","WIDOWED",6,"ONE CAN`T BE TOO CAREFUL","NO OPINION","YES",1670
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"FEMALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"FEMALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",1000
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","DIVORCED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2000
"MALE","65+","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",7,"IT`S DIFFICULT TO TELL","YES","YES",1400
"MALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","DIVORCED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",4200
"FEMALE","60-64","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","WIDOWED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1000
"FEMALE","60-64","SECONDARY","RETIRED","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1530
"MALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","DE FACTO SEPARATED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2500
"MALE","45-59","SECONDARY","SELF-EMPLOYED","DIVORCED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1700
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",3400
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1000
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",830
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",860
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",1800
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",2400
"FEMALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",9,"IT`S DIFFICULT TO TELL","YES","YES",900
"MALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"MALE","60-64","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1800
"MALE","35-44","PRIMARY/NO EDUCATION","FARMER","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1400
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1500
"FEMALE","60-64","SECONDARY","RETIRED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",3100
"FEMALE","65+","SECONDARY","LONG-TERM SICK/DISABLED","WIDOWED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2100
"FEMALE","45-59","PRIMARY/NO EDUCATION","RETIRED","MARRIED",8,"IT`S DIFFICULT TO TELL","YES","YES",1110
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"IT`S DIFFICULT TO TELL","YES","YES",2300
"FEMALE","35-44","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","DIVORCED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",3000
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",4500
